,K-Means,,,,,,,,,,Fuzzy C-Means,,,,,,,,
Project 33,0.72665,0.48125,0.95098,0.87914,0.60038,0.87916,0.70803,0.75696,0.83895,,0.7293,0.79985,0.76696,0.77231,0.87428,0.9445,1.01577,1.04646,1.07712
Project 34,0.60708,0.70574,0.70431,0.85471,0.8115,0.92703,0.75782,0.91946,0.95123,,0.64914,0.70544,0.7612,0.79964,0.88494,0.91549,1.03798,1.0148,1.09175
Project 35,0.73869,0.83928,0.57246,0.6108,0.61246,0.65245,0.66871,0.69822,0.88557,,0.80304,0.8279,0.84729,0.85991,0.86264,0.89641,0.95308,1.03607,1.08686
Project 36,0.72256,0.74818,0.81897,0.77712,0.84618,0.78085,0.81233,0.8733,0.82112,,0.73952,0.75242,0.81942,0.91958,0.88539,0.99616,1.00013,0.96388,1.39766
Project 37,0.60425,0.48268,0.47223,0.50253,0.54775,0.63044,0.5725,0.61452,0.62958,,0.66233,0.66067,0.5637,0.73927,0.57926,0.62291,0.64319,0.71533,0.59552
Project 38,0.20661,0.47989,0.57559,0.61021,0.69604,0.6102,0.69262,0.58438,1.02489,,0.20661,0.47989,0.5769,0.60091,0.55702,0.69802,0.73499,0.72033,0.75369
Project 39,0.58765,0.51983,0.54322,0.64397,0.62937,0.82429,0.59652,0.73978,0.78428,,0.47516,0.51983,0.56576,0.64704,0.66773,0.71814,0.85944,0.77339,0.79113
Project 40,0.72683,0.68113,0.74384,0.65533,0.73548,0.47182,0.60084,0.54798,0.63205,,0.72683,0.66321,0.47387,0.57723,0.49763,0.68551,0.52783,0.39469,0.44796
Project 41,0.66197,0.6283,0.60019,0.63844,0.78594,0.86188,0.90412,0.75145,0.89377,,0.67539,0.82469,1.11066,0.72358,1.20456,0.87326,0.94012,1.0437,0.90589
Project 42,0.73612,0.8567,0.69613,0.7589,0.69761,0.80246,0.84895,1.03476,0.96106,,0.6888,0.82028,0.69958,0.8712,0.8453,0.90627,0.99513,1.01092,1.0925
Project 43,0.75953,0.66315,0.68079,0.70239,0.7223,0.61934,0.82668,0.88958,0.79035,,0.71532,0.84992,0.92531,0.91488,0.89597,0.90001,0.83383,0.90828,0.99454
Project 44,0.40835,0.39993,0.5956,0.6774,0.76136,0.64422,0.71518,0.7476,0.69782,,0.22506,0.39993,0.57947,0.59861,0.62997,0.66107,0.69628,0.73879,0.7168
Project 45,0.99679,0.61668,0.69282,0.72792,0.48327,0.61708,0.62773,1.01064,0.51445,,0.9471,1.04287,1.12796,0.62433,0.4205,0.55901,0.45579,0.57661,0.70045
Project 46,0.06127,0.24792,0.33766,0.42687,0.5088,0.53502,0.66076,0.60756,0.61606,,0.80363,0.24792,0.33766,0.41417,0.52918,0.59484,0.67807,0.49009,0.52946
Project 47,0.69447,0.77835,0.85225,0.93327,0.69597,0.60144,0.65507,0.71306,0.67433,,0.92901,0.76931,0.82468,0.94248,0.79502,0.90568,0.93114,0.88852,0.88489
Project 48,0.40077,0.64844,0.78171,0.61244,0.66088,0.64872,0.79933,0.56559,0.70036,,0.40077,0.66499,0.79515,0.52937,0.64854,0.51772,0.60227,0.78234,0.60689
Project 49,0.41291,0.70064,0.93392,0.65911,0.71703,0.78029,0.58819,0.64267,0.68687,,0.41291,0.69949,0.82013,0.56624,0.72726,0.56046,0.42788,0.53874,0.85915
Project 50,0.031,0.0502,0.37419,0.52902,0.45333,0.55423,0.52703,0.68246,0.57296,,0.031,0.0502,0.38051,0.3438,0.52344,0.46016,0.51595,0.55466,0.55913
Project 51,0.57658,0.5626,0.37905,0.59655,0.62462,0.56303,0.57513,0.43427,0.43114,,0.57658,0.56326,0.53466,0.31862,0.23922,0.45117,0.43774,0.2719,0.18513
Project 52,0.6156,0.46394,0.55918,0.65867,0.60401,0.61261,0.64144,0.6779,0.69565,,0.57287,0.46077,0.55768,0.72627,0.8854,0.8759,0.81283,0.75957,0.79064
Project 53,0.58539,0.46037,0.58899,0.6904,0.73326,0.70639,0.7112,0.74249,0.7661,,0.30168,0.46037,0.57963,0.74292,0.90325,1.03226,0.93673,0.79724,0.832
Project 54,0.54326,0.57383,0.73888,0.7376,0.81597,0.70582,0.70514,0.71456,0.73672,,0.54326,0.59209,0.7482,0.93052,0.92846,0.81994,0.86059,0.81782,0.84634
Project 55,0.5999,0.65684,0.67266,0.72824,0.73097,0.72613,0.78367,0.7276,0.70742,,0.54468,0.65377,0.6843,1.10844,0.72535,0.67231,0.63485,0.70905,0.79003
Project 56,0.4661,0.50422,0.50892,0.62867,0.42767,0.7784,0.5215,0.68772,0.5653,,0.4054,0.37658,0.45446,0.63441,0.74271,0.57021,0.65916,0.66406,0.53557
