15,1,5,11,4,7,8,19,6,18,20,9,13,10,3,14,2,16,17,12
8,2,14,7,4,5,11,13,3,10,18,1,6,19,20,9,15,16,17,12
1,6,4,8,15,5,9,18,11,13,2,20,19,16,17,3,10,7,14,12
11,5,15,1,8,6,4,18,9,19,20,13,10,14,3,16,17,2,7,12
11,5,6,1,15,9,18,19,13,8,4,20,7,16,17,3,2,14,10,12
8,1,4,9,15,13,6,5,2,14,11,17,16,20,7,18,19,3,10,12
5,11,4,8,7,15,1,13,18,6,19,20,3,14,2,9,10,16,17,12
4,9,6,1,20,15,3,11,5,14,8,16,17,19,10,18,7,2,13,12
9,7,4,20,6,19,5,18,1,13,3,15,2,11,10,8,14,16,17,12
9,5,1,8,6,15,4,19,11,7,18,17,16,13,3,2,20,14,10,12
19,7,18,4,20,3,5,1,11,13,9,15,6,8,10,2,16,17,14,12
9,20,18,11,1,5,13,8,6,2,14,15,10,16,17,19,4,3,7,12
7,4,5,11,9,13,18,1,6,15,16,8,17,19,3,2,14,10,20,12
8,15,5,6,11,1,18,4,9,17,16,20,19,10,7,14,2,13,3,12
18,11,15,19,5,20,4,3,7,17,16,6,1,14,2,9,10,13,8,12
1,5,11,6,15,4,20,19,18,8,9,13,7,16,17,3,10,14,2,12
5,11,13,1,12,19,6,2,20,8,15,18,7,4,9,10,16,17,14,3
5,13,12,1,19,11,20,4,6,7,9,8,15,18,2,10,3,14,16,17
5,1,11,15,6,19,20,8,13,4,9,7,18,12,2,14,10,3,16,17
11,5,1,15,6,7,4,19,13,9,8,20,18,12,2,10,16,17,3,14
8,1,7,19,20,13,4,11,5,10,9,6,3,12,18,2,14,15,16,17
7,13,2,18,14,9,12,6,1,4,15,11,19,10,20,16,17,3,5,8
1,9,4,20,12,8,19,11,6,5,7,15,3,13,18,10,16,17,14,2
5,11,4,8,1,6,19,12,15,20,9,13,18,3,10,16,17,7,14,2
4,7,9,12,3,1,18,20,16,17,8,11,15,5,10,6,19,14,2,13
1,5,8,15,11,4,9,12,13,18,20,10,16,17,2,19,7,6,3,14
5,4,15,1,8,6,11,7,13,12,19,9,2,20,14,10,3,18,16,17
8,9,5,4,1,15,12,20,19,11,16,17,2,6,18,13,7,10,3,14
18,5,11,10,4,17,16,13,6,9,15,12,1,8,14,2,20,7,19,3
6,5,4,1,8,2,9,11,13,15,7,20,18,10,16,17,19,12,3,14
4,8,15,18,5,11,19,20,1,6,10,2,14,12,3,7,16,17,13,9
18,11,19,20,5,8,4,14,16,2,15,17,12,10,6,7,13,9,3,1
18,8,4,11,19,20,5,14,2,12,15,13,17,16,3,7,1,6,9,10
4,8,11,5,18,15,7,1,9,12,10,14,6,20,13,19,2,16,3,17
18,11,8,4,5,15,2,19,20,14,7,17,16,1,6,10,12,13,9,3
13,4,20,19,15,5,1,11,16,17,6,8,9,3,18,10,14,2,7,12
17,16,10,2,14,15,8,18,6,7,1,3,5,20,19,9,13,4,11,12
1,6,7,20,9,5,4,12,19,11,2,14,15,3,13,16,17,18,10,8
5,1,11,13,20,15,10,19,4,8,12,18,7,6,2,14,16,17,9,3
5,4,8,1,18,9,11,3,15,7,2,14,10,20,19,16,17,13,12,6
19,11,5,18,1,8,20,6,15,9,4,7,16,17,13,12,3,10,14,2
4,8,15,5,19,13,11,2,14,20,6,1,3,10,16,17,7,18,9,12
5,11,19,1,20,15,13,18,4,6,9,16,17,7,8,10,2,14,3,12
4,5,6,1,18,11,20,7,8,10,2,15,9,19,14,16,17,13,3,12
2,14,18,8,1,17,16,9,7,4,13,10,6,5,20,19,11,15,3,12
15,19,11,8,1,6,5,13,10,18,20,4,14,2,16,17,7,3,12,9
4,13,5,11,18,20,15,19,1,6,7,12,9,16,17,3,10,14,2,8
11,5,18,12,10,13,1,8,4,3,20,9,19,15,14,2,7,16,17,6
15,8,5,4,11,13,1,9,10,6,12,18,16,17,20,3,19,14,2,7
18,5,13,20,15,17,16,9,11,7,19,14,1,6,2,3,8,4,10,12
6,4,15,5,11,13,1,8,7,3,17,16,18,20,19,9,14,12,2,10
3,8,20,13,4,2,14,18,7,17,16,12,19,11,1,5,15,6,9,10
12,18,11,20,19,4,8,5,3,7,13,15,17,16,14,2,9,1,6,10
8,4,2,14,11,18,7,17,16,19,20,12,13,5,15,3,1,6,9,10
9,7,1,8,15,13,6,11,2,14,12,18,3,16,17,4,5,10,19,20
5,8,15,1,18,6,11,2,14,13,20,4,7,19,9,10,12,16,17,3
