0.233870,0.268615,0.267015,0.239445,0.235371,0.253846,0.246520,0.248831,0.255586,0.263943,0.235371,0.268800,0.262835,0.268367,0.228059,0.268760,0.268760,0.255586,0.251293,0.255586,15.000000,1.000000,5.000000,11.000000,4.000000
0.346315,0.336678,0.345285,0.342582,0.343934,0.347191,0.341977,0.315325,0.348062,0.346168,0.343934,0.348441,0.344947,0.339351,0.348326,0.348373,0.348373,0.346168,0.347431,0.347431,8.000000,2.000000,14.000000,7.000000,4.000000
0.180337,0.190644,0.193343,0.182016,0.184307,0.181771,0.193812,0.183319,0.184712,0.193705,0.185153,0.194574,0.189055,0.194471,0.183410,0.192866,0.192866,0.184947,0.192693,0.192089,1.000000,6.000000,4.000000,8.000000,15.000000
0.332942,0.386243,0.384480,0.337900,0.308814,0.334953,0.386368,0.333954,0.347334,0.381401,0.306673,0.386815,0.362262,0.382004,0.325093,0.384722,0.384722,0.344941,0.353038,0.356358,11.000000,5.000000,15.000000,1.000000,8.000000
0.305565,0.344148,0.342769,0.319552,0.299328,0.301651,0.342357,0.318100,0.310529,0.346338,0.293871,0.346341,0.315241,0.344632,0.308024,0.342465,0.342465,0.314046,0.314602,0.321980,11.000000,5.000000,6.000000,1.000000,15.000000
0.194593,0.201471,0.203441,0.194675,0.201421,0.198737,0.202987,0.188924,0.195668,0.203813,0.202352,0.204142,0.197676,0.201471,0.196660,0.202699,0.202699,0.203143,0.203148,0.202770,8.000000,1.000000,4.000000,9.000000,15.000000
0.290749,0.465925,0.460687,0.218908,0.177187,0.350851,0.230284,0.218908,0.467130,0.467130,0.177187,0.467280,0.298379,0.465925,0.286855,0.467144,0.467144,0.350851,0.360669,0.391423,5.000000,11.000000,4.000000,8.000000,7.000000
0.072284,0.073657,0.072790,0.071544,0.072893,0.072259,0.073623,0.073210,0.071843,0.073594,0.072874,0.073755,0.073726,0.072912,0.072517,0.073495,0.073495,0.073602,0.073503,0.072284,4.000000,9.000000,6.000000,1.000000,20.000000
0.455387,0.456495,0.455546,0.451854,0.453994,0.452059,0.451316,0.457472,0.447681,0.457323,0.456717,0.458102,0.455492,0.457561,0.456485,0.457955,0.457955,0.454445,0.452576,0.452059,9.000000,7.000000,4.000000,20.000000,6.000000
0.264961,0.275397,0.275286,0.268756,0.263379,0.268496,0.271573,0.267797,0.262801,0.277218,0.269311,0.277268,0.274864,0.276318,0.268719,0.274494,0.274494,0.272846,0.269193,0.275490,9.000000,5.000000,1.000000,8.000000,6.000000
0.309415,0.313222,0.308434,0.306506,0.308505,0.312271,0.305453,0.312859,0.310100,0.313189,0.309534,0.313729,0.309698,0.313691,0.310846,0.313530,0.313530,0.305744,0.305354,0.308148,19.000000,7.000000,18.000000,4.000000,20.000000
0.131836,0.139347,0.142544,0.142455,0.131836,0.138664,0.143134,0.137525,0.130208,0.139648,0.131836,0.144043,0.133661,0.139648,0.139648,0.141406,0.141406,0.131836,0.141696,0.131048,9.000000,20.000000,18.000000,11.000000,1.000000
0.239723,0.250842,0.250712,0.205128,0.205128,0.239723,0.197531,0.243665,0.231061,0.252340,0.205128,0.252401,0.232804,0.250842,0.242979,0.243665,0.243665,0.239723,0.249237,0.252340,7.000000,4.000000,5.000000,11.000000,9.000000
0.434048,0.485289,0.489965,0.451076,0.428712,0.428712,0.483912,0.393057,0.468076,0.481572,0.428712,0.490869,0.488392,0.485289,0.402701,0.472353,0.472353,0.440769,0.480877,0.478914,8.000000,15.000000,5.000000,6.000000,11.000000
0.123463,0.123728,0.121492,0.120811,0.120382,0.122698,0.122068,0.123957,0.123755,0.123818,0.118951,0.123965,0.123830,0.123728,0.119275,0.122343,0.122343,0.118951,0.119891,0.120581,18.000000,11.000000,15.000000,19.000000,5.000000
0.184200,0.201229,0.201156,0.188063,0.184200,0.187065,0.199700,0.196702,0.197035,0.201158,0.186919,0.201446,0.198743,0.201229,0.187354,0.201102,0.201102,0.192149,0.190858,0.189668,1.000000,5.000000,11.000000,6.000000,15.000000
